Source,Target,Weight,Type
0,1,1.0,Directed
1,6,1.0,Directed
1,7,1.0,Directed
1,8,1.0,Directed
2,1,1.0,Directed
2,3,1.0,Directed
4,1,1.0,Directed
5,1,1.0,Directed
6,1,1.0,Directed
6,7,1.0,Directed
6,8,1.0,Directed
7,1,1.0,Directed
7,6,1.0,Directed
7,8,1.0,Directed
8,6,1.0,Directed
8,7,1.0,Directed
9,1,1.0,Directed
9,7,1.0,Directed
10,1,1.0,Directed
10,6,1.0,Directed
11,1,1.0,Directed
11,6,1.0,Directed
11,7,1.0,Directed
12,1,1.0,Directed
13,1,1.0,Directed
13,6,1.0,Directed
14,1,1.0,Directed
15,1,1.0,Directed
16,1,1.0,Directed
16,6,1.0,Directed
17,6,1.0,Directed
18,1,1.0,Directed
18,6,1.0,Directed
18,7,1.0,Directed
19,1,1.0,Directed
19,6,1.0,Directed
19,7,1.0,Directed
19,8,1.0,Directed
20,1,1.0,Directed
21,6,1.0,Directed
22,6,1.0,Directed
23,1,1.0,Directed
23,3,1.0,Directed
24,6,1.0,Directed
25,1,1.0,Directed
26,6,1.0,Directed
27,1,1.0,Directed
28,1,1.0,Directed
29,7,1.0,Directed
30,6,1.0,Directed
31,1,1.0,Directed
32,1,1.0,Directed
33,6,1.0,Directed
33,7,1.0,Directed
34,1,1.0,Directed
35,1,1.0,Directed
36,1,1.0,Directed
37,1,1.0,Directed
38,1,1.0,Directed
38,7,1.0,Directed
39,1,1.0,Directed
40,1,1.0,Directed
40,7,1.0,Directed
41,6,1.0,Directed
42,6,1.0,Directed
43,6,1.0,Directed
44,7,1.0,Directed
45,6,1.0,Directed
46,7,1.0,Directed
47,6,1.0,Directed
48,1,1.0,Directed
48,6,1.0,Directed
48,49,1.0,Directed
49,1,1.0,Directed
49,6,1.0,Directed
49,7,1.0,Directed
50,6,1.0,Directed
51,6,1.0,Directed
52,1,1.0,Directed
53,1,1.0,Directed
54,6,1.0,Directed
55,1,1.0,Directed
55,7,1.0,Directed
56,8,1.0,Directed
57,6,1.0,Directed
58,3,1.0,Directed
59,1,1.0,Directed
59,6,1.0,Directed
60,1,1.0,Directed
61,6,1.0,Directed
62,1,1.0,Directed
63,6,1.0,Directed
64,1,1.0,Directed
65,6,1.0,Directed
66,1,1.0,Directed
66,6,1.0,Directed
67,6,1.0,Directed
68,6,1.0,Directed
68,7,1.0,Directed
69,7,1.0,Directed
70,6,1.0,Directed
71,1,1.0,Directed
71,7,1.0,Directed
72,1,1.0,Directed
73,6,1.0,Directed
74,1,1.0,Directed
75,7,1.0,Directed
76,1,1.0,Directed
77,1,1.0,Directed
78,1,1.0,Directed
79,1,1.0,Directed
79,7,1.0,Directed
80,1,1.0,Directed
80,7,1.0,Directed
81,1,1.0,Directed
82,1,1.0,Directed
83,49,1.0,Directed
84,49,1.0,Directed
85,1,1.0,Directed
86,7,1.0,Directed
87,6,1.0,Directed
88,1,1.0,Directed
89,7,1.0,Directed
90,1,1.0,Directed
90,6,1.0,Directed
91,1,1.0,Directed
92,1,1.0,Directed
93,1,1.0,Directed
94,7,1.0,Directed
95,8,1.0,Directed
96,7,1.0,Directed
97,7,1.0,Directed
98,6,1.0,Directed
99,7,1.0,Directed
100,1,1.0,Directed
101,1,1.0,Directed
102,1,1.0,Directed
103,7,1.0,Directed
104,7,1.0,Directed
105,1,1.0,Directed
106,1,1.0,Directed
106,7,1.0,Directed
107,7,1.0,Directed
108,1,1.0,Directed
109,7,1.0,Directed
110,1,1.0,Directed
111,49,1.0,Directed
112,7,1.0,Directed
113,1,1.0,Directed
114,1,1.0,Directed
115,1,1.0,Directed
115,7,1.0,Directed
116,8,1.0,Directed
117,7,1.0,Directed
118,7,1.0,Directed
119,1,1.0,Directed
120,6,1.0,Directed
121,7,1.0,Directed
122,1,1.0,Directed
123,1,1.0,Directed
124,1,1.0,Directed
125,1,1.0,Directed
126,8,1.0,Directed
127,1,1.0,Directed
127,7,1.0,Directed
128,7,1.0,Directed
129,7,1.0,Directed
130,1,1.0,Directed
131,1,1.0,Directed
131,7,1.0,Directed
132,1,1.0,Directed
133,1,1.0,Directed
133,7,1.0,Directed
134,1,1.0,Directed
135,6,1.0,Directed
136,1,1.0,Directed
137,7,1.0,Directed
138,7,1.0,Directed
139,1,1.0,Directed
139,7,1.0,Directed
140,1,1.0,Directed
141,1,1.0,Directed
141,6,1.0,Directed
142,1,1.0,Directed
143,7,1.0,Directed
144,1,1.0,Directed
145,6,1.0,Directed
146,7,1.0,Directed
147,1,1.0,Directed
148,1,1.0,Directed
148,7,1.0,Directed
149,7,1.0,Directed
150,1,1.0,Directed
151,6,1.0,Directed
152,1,1.0,Directed
153,7,1.0,Directed
154,6,1.0,Directed
154,7,1.0,Directed
155,7,1.0,Directed
156,1,1.0,Directed
157,0,1.0,Directed
157,6,1.0,Directed
157,7,1.0,Directed
158,1,1.0,Directed
159,6,1.0,Directed
160,1,1.0,Directed
161,7,1.0,Directed
162,6,1.0,Directed
163,1,1.0,Directed
164,7,1.0,Directed
165,8,1.0,Directed
166,7,1.0,Directed
167,7,1.0,Directed
168,7,1.0,Directed
169,7,1.0,Directed
170,7,1.0,Directed
171,1,1.0,Directed
172,1,1.0,Directed
173,7,1.0,Directed
174,1,1.0,Directed
175,7,1.0,Directed
176,1,1.0,Directed
177,7,1.0,Directed
178,1,1.0,Directed
179,1,1.0,Directed
180,1,1.0,Directed
181,7,1.0,Directed
182,1,1.0,Directed
183,6,1.0,Directed
184,7,1.0,Directed
185,7,1.0,Directed
186,7,1.0,Directed
187,1,1.0,Directed
187,7,1.0,Directed
188,7,1.0,Directed
189,7,1.0,Directed
190,1,1.0,Directed
191,1,1.0,Directed
192,1,1.0,Directed
193,7,1.0,Directed
194,1,1.0,Directed
195,6,1.0,Directed
196,7,1.0,Directed
197,1,1.0,Directed
198,1,1.0,Directed
198,7,1.0,Directed
199,7,1.0,Directed
200,7,1.0,Directed
201,7,1.0,Directed
202,1,1.0,Directed
202,6,1.0,Directed
202,7,1.0,Directed
202,8,1.0,Directed
202,49,1.0,Directed
203,1,1.0,Directed
204,1,1.0,Directed
205,1,1.0,Directed
206,7,1.0,Directed
207,7,1.0,Directed
208,1,1.0,Directed
208,6,1.0,Directed
209,8,1.0,Directed
210,1,1.0,Directed
211,1,1.0,Directed
211,7,1.0,Directed
212,7,1.0,Directed
213,7,1.0,Directed
214,7,1.0,Directed
214,8,1.0,Directed
215,7,1.0,Directed
216,1,1.0,Directed
217,8,1.0,Directed
218,7,1.0,Directed
219,7,1.0,Directed
220,3,1.0,Directed
221,1,1.0,Directed
222,1,1.0,Directed
223,1,1.0,Directed
223,7,1.0,Directed
224,1,1.0,Directed
225,1,1.0,Directed
226,1,1.0,Directed
226,6,1.0,Directed
226,7,1.0,Directed
226,227,1.0,Directed
227,1,1.0,Directed
227,7,1.0,Directed
228,6,1.0,Directed
229,7,1.0,Directed
230,1,1.0,Directed
231,1,1.0,Directed
231,7,1.0,Directed
232,8,1.0,Directed
233,7,1.0,Directed
234,6,1.0,Directed
235,1,1.0,Directed
236,7,1.0,Directed
237,7,1.0,Directed
238,49,1.0,Directed
239,7,1.0,Directed
240,1,1.0,Directed
241,7,1.0,Directed
242,7,1.0,Directed
243,1,1.0,Directed
244,1,1.0,Directed
245,7,1.0,Directed
246,7,1.0,Directed
247,7,1.0,Directed
248,7,1.0,Directed
249,1,1.0,Directed
249,7,1.0,Directed
250,1,1.0,Directed
251,7,1.0,Directed
252,1,1.0,Directed
253,7,1.0,Directed
254,8,1.0,Directed
255,1,1.0,Directed
255,7,1.0,Directed
256,7,1.0,Directed
257,7,1.0,Directed
258,7,1.0,Directed
258,8,1.0,Directed
259,7,1.0,Directed
260,7,1.0,Directed
261,1,1.0,Directed
262,7,1.0,Directed
263,7,1.0,Directed
264,1,1.0,Directed
264,7,1.0,Directed
265,1,1.0,Directed
265,7,1.0,Directed
266,1,1.0,Directed
267,7,1.0,Directed
268,7,1.0,Directed
269,1,1.0,Directed
269,7,1.0,Directed
270,1,1.0,Directed
271,7,1.0,Directed
272,1,1.0,Directed
272,7,1.0,Directed
273,7,1.0,Directed
274,6,1.0,Directed
275,7,1.0,Directed
276,6,1.0,Directed
276,7,1.0,Directed
277,7,1.0,Directed
278,1,1.0,Directed
279,1,1.0,Directed
280,7,1.0,Directed
281,6,1.0,Directed
282,7,1.0,Directed
283,7,1.0,Directed
284,6,1.0,Directed
285,7,1.0,Directed
286,6,1.0,Directed
287,7,1.0,Directed
288,7,1.0,Directed
289,7,1.0,Directed
290,7,1.0,Directed
291,6,1.0,Directed
291,7,1.0,Directed
291,8,1.0,Directed
292,7,1.0,Directed
293,7,1.0,Directed
294,7,1.0,Directed
295,1,1.0,Directed
296,1,1.0,Directed
297,1,1.0,Directed
298,7,1.0,Directed
299,6,1.0,Directed
299,300,1.0,Directed
301,7,1.0,Directed
302,7,1.0,Directed
303,1,1.0,Directed
304,8,1.0,Directed
305,7,1.0,Directed
306,1,1.0,Directed
307,7,1.0,Directed
308,7,1.0,Directed
309,1,1.0,Directed
310,1,1.0,Directed
311,1,1.0,Directed
312,7,1.0,Directed
313,7,1.0,Directed
314,7,1.0,Directed
315,1,1.0,Directed
316,7,1.0,Directed
317,1,1.0,Directed
318,1,1.0,Directed
319,1,1.0,Directed
320,7,1.0,Directed
321,6,1.0,Directed
322,6,1.0,Directed
323,6,1.0,Directed
324,7,1.0,Directed
325,7,1.0,Directed
326,6,1.0,Directed
327,1,1.0,Directed
327,6,1.0,Directed
327,7,1.0,Directed
327,8,1.0,Directed
328,7,1.0,Directed
329,7,1.0,Directed
330,7,1.0,Directed
331,1,1.0,Directed
331,7,1.0,Directed
332,6,1.0,Directed
332,7,1.0,Directed
333,7,1.0,Directed
334,1,1.0,Directed
335,7,1.0,Directed
336,7,1.0,Directed
337,1,1.0,Directed
338,7,1.0,Directed
339,7,1.0,Directed
340,7,1.0,Directed
341,1,1.0,Directed
342,6,1.0,Directed
343,7,1.0,Directed
344,1,1.0,Directed
345,6,1.0,Directed
346,6,1.0,Directed
347,7,1.0,Directed
348,7,1.0,Directed
349,7,1.0,Directed
350,7,1.0,Directed
351,7,1.0,Directed
352,7,1.0,Directed
353,1,1.0,Directed
353,8,1.0,Directed
354,7,1.0,Directed
355,1,1.0,Directed
355,6,1.0,Directed
355,7,1.0,Directed
356,6,1.0,Directed
357,7,1.0,Directed
358,6,1.0,Directed
359,8,1.0,Directed
360,7,1.0,Directed
361,7,1.0,Directed
362,7,1.0,Directed
363,7,1.0,Directed
364,1,1.0,Directed
365,8,1.0,Directed
366,6,1.0,Directed
367,7,1.0,Directed
368,1,1.0,Directed
368,7,1.0,Directed
369,7,1.0,Directed
370,7,1.0,Directed
371,7,1.0,Directed
372,7,1.0,Directed
373,7,1.0,Directed
374,1,1.0,Directed
375,227,1.0,Directed
376,7,1.0,Directed
377,7,1.0,Directed
378,7,1.0,Directed
379,7,1.0,Directed
380,7,1.0,Directed
381,8,1.0,Directed
382,7,1.0,Directed
383,7,1.0,Directed
384,227,1.0,Directed
385,1,1.0,Directed
386,1,1.0,Directed
386,7,1.0,Directed
387,7,1.0,Directed
388,6,1.0,Directed
388,7,1.0,Directed
389,227,1.0,Directed
390,7,1.0,Directed
390,227,1.0,Directed
391,7,1.0,Directed
391,8,1.0,Directed
391,227,1.0,Directed
392,1,1.0,Directed
392,8,1.0,Directed
