Source,Target,Weight,Type
0,1,1.0,Directed
0,2,1.0,Directed
1,0,1.0,Directed
1,2,1.0,Directed
1,11,1.0,Directed
1,18,1.0,Directed
1,25,1.0,Directed
1,53,1.0,Directed
1,88,1.0,Directed
1,89,1.0,Directed
1,188,1.0,Directed
1,223,1.0,Directed
1,248,1.0,Directed
1,388,1.0,Directed
1,391,1.0,Directed
1,392,1.0,Directed
1,393,1.0,Directed
1,394,1.0,Directed
1,395,1.0,Directed
2,0,1.0,Directed
2,1,1.0,Directed
2,3,1.0,Directed
2,4,1.0,Directed
2,5,1.0,Directed
2,6,1.0,Directed
2,7,1.0,Directed
2,8,1.0,Directed
2,9,1.0,Directed
2,10,1.0,Directed
2,11,1.0,Directed
2,12,1.0,Directed
2,13,1.0,Directed
2,14,1.0,Directed
2,15,1.0,Directed
2,16,1.0,Directed
2,17,1.0,Directed
2,18,1.0,Directed
2,19,1.0,Directed
2,20,1.0,Directed
2,21,1.0,Directed
2,22,1.0,Directed
2,23,1.0,Directed
2,24,1.0,Directed
2,25,1.0,Directed
2,26,1.0,Directed
2,27,1.0,Directed
2,28,1.0,Directed
2,29,1.0,Directed
2,30,1.0,Directed
2,31,1.0,Directed
2,32,1.0,Directed
2,33,1.0,Directed
2,34,1.0,Directed
2,35,1.0,Directed
2,36,1.0,Directed
2,37,1.0,Directed
2,38,1.0,Directed
2,39,1.0,Directed
2,40,1.0,Directed
2,41,1.0,Directed
2,42,1.0,Directed
2,43,1.0,Directed
2,44,1.0,Directed
2,45,1.0,Directed
2,46,1.0,Directed
2,47,1.0,Directed
2,48,1.0,Directed
2,49,1.0,Directed
2,50,1.0,Directed
2,51,1.0,Directed
2,52,1.0,Directed
2,53,1.0,Directed
2,54,1.0,Directed
2,55,1.0,Directed
2,56,1.0,Directed
2,57,1.0,Directed
2,58,1.0,Directed
2,59,1.0,Directed
2,60,1.0,Directed
2,61,1.0,Directed
2,62,1.0,Directed
2,63,1.0,Directed
2,64,1.0,Directed
2,65,1.0,Directed
2,66,1.0,Directed
2,67,1.0,Directed
2,68,1.0,Directed
2,69,1.0,Directed
2,70,1.0,Directed
2,71,1.0,Directed
2,72,1.0,Directed
2,73,1.0,Directed
2,74,1.0,Directed
2,75,1.0,Directed
2,76,1.0,Directed
2,77,1.0,Directed
2,78,1.0,Directed
2,79,1.0,Directed
2,80,1.0,Directed
2,81,1.0,Directed
2,82,1.0,Directed
2,83,1.0,Directed
2,84,1.0,Directed
2,85,1.0,Directed
2,86,1.0,Directed
2,87,1.0,Directed
2,88,1.0,Directed
2,89,1.0,Directed
2,90,1.0,Directed
2,91,1.0,Directed
2,92,1.0,Directed
2,93,1.0,Directed
2,94,1.0,Directed
2,95,1.0,Directed
2,96,1.0,Directed
2,97,1.0,Directed
2,98,1.0,Directed
2,99,1.0,Directed
2,100,1.0,Directed
2,101,1.0,Directed
2,102,1.0,Directed
2,103,1.0,Directed
2,104,1.0,Directed
2,105,1.0,Directed
2,106,1.0,Directed
2,107,1.0,Directed
2,108,1.0,Directed
2,109,1.0,Directed
2,110,1.0,Directed
2,111,1.0,Directed
2,112,1.0,Directed
2,113,1.0,Directed
2,114,1.0,Directed
2,115,1.0,Directed
2,116,1.0,Directed
2,117,1.0,Directed
2,118,1.0,Directed
2,119,1.0,Directed
2,120,1.0,Directed
2,121,1.0,Directed
2,122,1.0,Directed
2,123,1.0,Directed
2,124,1.0,Directed
2,125,1.0,Directed
2,126,1.0,Directed
2,127,1.0,Directed
2,128,1.0,Directed
2,129,1.0,Directed
2,130,1.0,Directed
2,131,1.0,Directed
2,132,1.0,Directed
2,133,1.0,Directed
2,134,1.0,Directed
2,135,1.0,Directed
2,136,1.0,Directed
2,137,1.0,Directed
2,138,1.0,Directed
2,139,1.0,Directed
2,140,1.0,Directed
2,141,1.0,Directed
2,142,1.0,Directed
2,143,1.0,Directed
2,144,1.0,Directed
2,145,1.0,Directed
2,146,1.0,Directed
2,147,1.0,Directed
2,148,1.0,Directed
2,149,1.0,Directed
2,150,1.0,Directed
2,151,1.0,Directed
2,152,1.0,Directed
2,153,1.0,Directed
2,154,1.0,Directed
2,155,1.0,Directed
2,156,1.0,Directed
2,157,1.0,Directed
2,158,1.0,Directed
2,159,1.0,Directed
2,160,1.0,Directed
2,161,1.0,Directed
2,162,1.0,Directed
2,163,1.0,Directed
2,164,1.0,Directed
2,165,1.0,Directed
2,166,1.0,Directed
2,167,1.0,Directed
2,168,1.0,Directed
2,169,1.0,Directed
2,170,1.0,Directed
2,171,1.0,Directed
2,172,1.0,Directed
2,173,1.0,Directed
2,174,1.0,Directed
