Source,Target,Weight,Type
0,1,1.0,Directed
0,2,1.0,Directed
0,3,1.0,Directed
0,4,1.0,Directed
0,5,1.0,Directed
0,6,1.0,Directed
0,7,1.0,Directed
0,8,1.0,Directed
0,9,1.0,Directed
0,10,1.0,Directed
0,11,1.0,Directed
0,12,1.0,Directed
0,13,1.0,Directed
0,14,1.0,Directed
0,15,1.0,Directed
0,16,1.0,Directed
0,17,1.0,Directed
0,18,1.0,Directed
0,19,1.0,Directed
0,20,1.0,Directed
0,21,1.0,Directed
0,22,1.0,Directed
0,23,1.0,Directed
1,0,1.0,Directed
1,7,1.0,Directed
1,8,1.0,Directed
1,9,1.0,Directed
1,13,1.0,Directed
1,16,1.0,Directed
1,25,1.0,Directed
1,27,1.0,Directed
1,44,1.0,Directed
5,0,1.0,Directed
5,25,1.0,Directed
6,0,1.0,Directed
6,1,1.0,Directed
6,8,1.0,Directed
6,9,1.0,Directed
6,11,1.0,Directed
6,16,1.0,Directed
6,85,1.0,Directed
6,146,1.0,Directed
7,0,1.0,Directed
7,9,1.0,Directed
7,27,1.0,Directed
8,0,1.0,Directed
8,9,1.0,Directed
8,11,1.0,Directed
8,16,1.0,Directed
8,19,1.0,Directed
8,27,1.0,Directed
8,43,1.0,Directed
8,85,1.0,Directed
8,181,1.0,Directed
8,187,1.0,Directed
9,0,1.0,Directed
9,7,1.0,Directed
9,8,1.0,Directed
9,11,1.0,Directed
9,13,1.0,Directed
9,16,1.0,Directed
9,18,1.0,Directed
9,19,1.0,Directed
9,27,1.0,Directed
9,29,1.0,Directed
9,30,1.0,Directed
11,0,1.0,Directed
11,8,1.0,Directed
11,9,1.0,Directed
11,12,1.0,Directed
11,15,1.0,Directed
11,16,1.0,Directed
11,19,1.0,Directed
11,27,1.0,Directed
11,29,1.0,Directed
11,74,1.0,Directed
11,75,1.0,Directed
11,76,1.0,Directed
11,77,1.0,Directed
11,78,1.0,Directed
11,79,1.0,Directed
11,80,1.0,Directed
11,81,1.0,Directed
11,82,1.0,Directed
11,83,1.0,Directed
11,84,1.0,Directed
11,85,1.0,Directed
11,86,1.0,Directed
11,87,1.0,Directed
11,88,1.0,Directed
11,89,1.0,Directed
11,90,1.0,Directed
12,9,1.0,Directed
12,11,1.0,Directed
12,16,1.0,Directed
12,19,1.0,Directed
12,223,1.0,Directed
13,0,1.0,Directed
13,3,1.0,Directed
13,5,1.0,Directed
13,9,1.0,Directed
13,15,1.0,Directed
13,20,1.0,Directed
13,24,1.0,Directed
14,0,1.0,Directed
14,9,1.0,Directed
15,0,1.0,Directed
15,13,1.0,Directed
16,0,1.0,Directed
16,1,1.0,Directed
16,6,1.0,Directed
16,7,1.0,Directed
16,8,1.0,Directed
16,9,1.0,Directed
16,11,1.0,Directed
16,12,1.0,Directed
16,13,1.0,Directed
16,15,1.0,Directed
16,19,1.0,Directed
16,25,1.0,Directed
16,27,1.0,Directed
16,43,1.0,Directed
16,44,1.0,Directed
16,45,1.0,Directed
17,0,1.0,Directed
17,8,1.0,Directed
17,9,1.0,Directed
17,11,1.0,Directed
17,16,1.0,Directed
17,333,1.0,Directed
18,0,1.0,Directed
19,0,1.0,Directed
19,1,1.0,Directed
19,9,1.0,Directed
19,11,1.0,Directed
19,16,1.0,Directed
19,37,1.0,Directed
19,38,1.0,Directed
20,0,1.0,Directed
23,0,1.0,Directed
24,0,1.0,Directed
24,8,1.0,Directed
24,11,1.0,Directed
24,13,1.0,Directed
25,0,1.0,Directed
25,1,1.0,Directed
25,16,1.0,Directed
26,0,1.0,Directed
26,8,1.0,Directed
26,9,1.0,Directed
26,13,1.0,Directed
26,16,1.0,Directed
26,27,1.0,Directed
27,0,1.0,Directed
27,7,1.0,Directed
27,9,1.0,Directed
27,36,1.0,Directed
28,0,1.0,Directed
28,7,1.0,Directed
28,9,1.0,Directed
28,16,1.0,Directed
28,19,1.0,Directed
29,0,1.0,Directed
29,13,1.0,Directed
29,72,1.0,Directed
30,0,1.0,Directed
30,5,1.0,Directed
30,9,1.0,Directed
30,18,1.0,Directed
31,0,1.0,Directed
32,0,1.0,Directed
32,13,1.0,Directed
33,0,1.0,Directed
33,16,1.0,Directed
33,34,1.0,Directed
34,0,1.0,Directed
35,0,1.0,Directed
35,9,1.0,Directed
36,0,1.0,Directed
36,9,1.0,Directed
37,11,1.0,Directed
37,646,1.0,Directed
38,0,1.0,Directed
38,13,1.0,Directed
39,0,1.0,Directed
40,0,1.0,Directed
40,9,1.0,Directed
40,30,1.0,Directed
41,9,1.0,Directed
42,0,1.0,Directed
42,13,1.0,Directed
42,14,1.0,Directed
43,0,1.0,Directed
